data;resultado
2026-03-10;1440,0
2026-03-11;-720,0
2026-03-12;-2160,0
2026-03-13;-1440,0
2026-03-16;2160,0
2026-03-17;1440,0
2026-03-18;2880,0
2026-03-19;-2160,0
2026-03-20;720,0
2026-03-23;5760,0
2026-03-24;3600,0
2026-03-25;-1440,0
2026-03-26;1440,0
2026-03-27;-1440,0
2026-03-30;2160,0
2026-03-31;-720,0
2026-04-01;720,0
2026-04-02;1440,0
2026-04-06;-6480,0
2026-04-07;0,0
2026-04-08;-720,0
2026-04-09;2160,0
2026-04-10;1440,0
2026-04-13;1440,0
2026-04-14;-720,0
2026-04-15;1440,0
2026-04-16;-1440,0
2026-04-22;2160,0
2026-04-24;-1440,0
2026-04-27;1440,0
2026-04-29;2160,0
2026-04-30;-720,0
2026-05-04;1440,0
2026-05-05;720,0
2026-05-06;-2160,0
2026-05-08;-720,0
2026-05-11;3600,0
2026-05-12;0,0
2026-05-13;4320,0
2026-05-14;0,0
2026-05-15;-720,0
2026-05-18;720,0
2026-05-19;-720,0
2026-05-20;-720,0
2026-05-21;-2880,0
