Ativo;Abertura;Fechamento;Tempo Operação;Qtd Compra;Qtd Venda;Lado;Preço Compra;Preço Venda;Preço de Mercado;Médio;Res. Intervalo Bruto;Res. Intervalo (%);Número Operação;Res. Operação;Res. Operação (%);Drawdown;Ganho Max.;Perda Max.;TET;Total;resultado;datetime;regime;ema27;ema55;slope_ema27;dist_emas;atr14;lado;equity;max_equity;drawdown
WINFUT;2026-03-10 12:36:08;10/03/2026 12:37:28;1min20s;24;24;C;189.975,00;189.975,00;178.700,00;Não;0;0;1;0;0;0,00;0,00;0,00; - ;0,00;0,0;2026-03-10;neutro;186187,521068455;181083,4478497062;1703,203701521823;5104,073218748817;-1029,2857142857142;c;0,0;0,0;0,0
WINFUT;2026-03-10 12:41:58;10/03/2026 12:57:32;15min33s;24;24;C;190.075,00;190.525,00;178.700,00;Não;2.160,00;450,00;2;2.160,00;450,00;0,00;0,00;0,00;5min50s;2.160,00;2160,0;2026-03-10;neutro;186187,521068455;181083,4478497062;1703,203701521823;5104,073218748817;-1029,2857142857142;c;2160,0;2160,0;0,0
WINFUT;2026-03-10 14:41:25;10/03/2026 14:41:25;-;24;24;C;191.200,00;191.050,00;178.700,00;Não;-720,00;-150,00;3;-720,00;-150,00;0,00;0,00;0,00;1h59min26s;1.440,00;-720,0;2026-03-10;neutro;186187,521068455;181083,4478497062;1703,203701521823;5104,073218748817;-1029,2857142857142;c;1440,0;2160,0;-720,0
WINFUT;2026-03-11 13:38:26;11/03/2026 13:51:18;12min52s;24;24;V;189.715,00;189.565,00;178.700,00;Não;-720,00;-150,00;4;-720,00;-150,00;0,00;0,00;0,00;22h57min1s;720,00;-720,0;2026-03-11;neutro;174518,95165449576;176223,09529660156;-9509,67332261798;1704,1436421058024;12424,785714285714;v;720,0;2160,0;-1440,0
WINFUT;2026-03-11 14:14:09;11/03/2026 14:16:43;2min33s;24;24;V;189.565,00;189.565,00;178.700,00;Não;0;0;5;0;0;0,00;0,00;0,00;35min42s;720,00;0,0;2026-03-11;neutro;174518,95165449576;176223,09529660156;-9509,67332261798;1704,1436421058024;12424,785714285714;v;720,0;2160,0;-1440,0
WINFUT;2026-03-12 15:14:31;12/03/2026 15:14:31;-;24;24;V;185.425,00;185.275,00;178.700,00;Não;-720,00;-150,00;6;-720,00;-150,00;0,00;0,00;0,00;1d1h;0,00;-720,0;2026-03-12;neutro;163286,45390929727;167780,8181325152;-18913,3784072664;4494,364223217941;263,6428571428572;v;0,0;2160,0;-2160,0
WINFUT;2026-03-12 15:20:07;12/03/2026 15:21:31;1min23s;24;24;V;185.375,00;185.375,00;178.700,00;Sim;0;0;7;0;0;0,00;0,00;0,00;5min36s;0,00;0,0;2026-03-12;neutro;163286,45390929727;167780,8181325152;-18913,3784072664;4494,364223217941;263,6428571428572;v;0,0;2160,0;-2160,0
WINFUT;2026-03-12 16:02:54;12/03/2026 16:02:54;-;24;24;V;185.425,00;185.275,00;178.700,00;Não;-720,00;-150,00;8;-720,00;-150,00;0,00;0,00;0,00;42min46s;-720,00;-720,0;2026-03-12;neutro;163286,45390929727;167780,8181325152;-18913,3784072664;4494,364223217941;263,6428571428572;v;-720,0;2160,0;-2880,0
WINFUT;2026-03-12 16:27:48;12/03/2026 16:27:48;-;24;24;V;185.525,00;185.375,00;178.700,00;Sim;-720,00;-150,00;9;-720,00;-150,00;0,00;0,00;0,00;24min53s;-1.440,00;-720,0;2026-03-12;neutro;163286,45390929727;167780,8181325152;-18913,3784072664;4494,364223217941;263,6428571428572;v;-1440,0;2160,0;-3600,0
WINFUT;2026-03-13 10:33:32;13/03/2026 10:33:32;-;24;24;C;186.805,00;186.655,00;178.700,00;Sim;-720,00;-150,00;10;-720,00;-150,00;0,00;0,00;0,00;18h5min43s;-2.160,00;-720,0;2026-03-13;tendencia_alta;178069,90274534465;174708,99267537103;2768,080235595728;3360,9100699736155;-11609,857142857143;c;-2160,0;2160,0;-4320,0
